source,keyword,posted_date,scraped_at,title,company,location,country,salary,url,job_id,description_snippet
jobstreet,Singapore-AI,2026-09-02,2026-09-02T21:36:45.724867,AI Engineer [ Business Automation ],,"Jurong East, West Region, SG",Singapore,,https://id.jobstreet.com/id/job/93827971?type=standard&ref=search-standalone&origin=cardTitle#sol=4f672e566f71ccc557c15e95bd8a9666c490275d,93827971,
jobstreet,Singapore-AI,2026-09-02,2026-09-02T21:36:45.558122,Enterprise Data & AI Platform Engineer,,"Central Region, SG",Singapore,,https://id.jobstreet.com/id/job/94373655?type=standard&ref=search-standalone&origin=cardTitle#sol=c97b554bca498628d5a91c0df681e04cff5bd502,94373655,
jobstreet,Singapore-AI,2026-09-02,2026-09-02T21:36:45.476668,AI Application Engineer,,"Kampong Ubi, Central Region, SG",Singapore,,https://id.jobstreet.com/id/job/94287239?type=standard&ref=search-standalone&origin=cardTitle#sol=13cef94018c9f57c185c1ead9132567a1a2fa915,94287239,
jobstreet,Singapore-AI,2026-09-02,2026-09-02T21:36:45.390014,Software Engineer (AI System),,"Central Region, SG",Singapore,,https://id.jobstreet.com/id/job/94312492?type=standard&ref=search-standalone&origin=cardTitle#sol=b8f66609e29b7310ec1062857a9139873f91a6ca,94312492,
jobstreet,Singapore-AI,2026-09-02,2026-09-02T21:36:45.296526,AI ENGINEER,,"Admiralty, North Region, SG",Singapore,,https://id.jobstreet.com/id/job/94311619?type=standard&ref=search-standalone&origin=cardTitle#sol=30f16ef7b4e88a6e9c9b41dcb3327c6caaa56bfe,94311619,
jobstreet,Singapore-AI,2026-09-02,2026-09-02T21:36:45.169079,AI Engineer,,Singapura,Singapore,,https://id.jobstreet.com/id/job/94369547?type=standard&ref=search-standalone&origin=cardTitle#sol=b14199a45208199352585e07c8b375d498996dee,94369547,
jobstreet,Singapore-AI,2026-09-02,2026-09-02T21:36:45.125869,Global Markets - Senior AI Platform Engineer,,Singapura,Singapore,,https://id.jobstreet.com/id/job/94370299?type=standard&ref=search-standalone&origin=cardTitle#sol=a09ab2dc81aa3dfb163a4949da131c2987d35db2,94370299,
jobstreet,Singapore-AI,2026-09-02,2026-09-02T21:36:45.079773,AI Research Engineer — Computer Vision & Physical Intelligence,,"Central Region, SG",Singapore,,https://id.jobstreet.com/id/job/94340237?type=standard&ref=search-standalone&origin=cardTitle#sol=24bade1121bae4c52f15ab9dfa1f132b2e12e9ae,94340237,
jobstreet,Singapore-AI,2026-09-02,2026-09-02T21:36:45.033543,AI Engineer,,"Singapore River, Central Region, SG",Singapore,,https://id.jobstreet.com/id/job/94325481?type=standard&ref=search-standalone&origin=cardTitle#sol=bc392a5c76ec0c75aad27ce9019a641f418ffab8,94325481,
jobstreet,Singapore-AI,2026-09-02,2026-09-02T21:36:44.843382,AI Applications Engineer,,"Bukit Merah, Central Region, SG",Singapore,,https://id.jobstreet.com/id/job/94326357?type=standard&ref=search-standalone&origin=cardTitle#sol=41cee9ed60eade7d9f42e087d56fb8d627b9e00b,94326357,
