source,keyword,posted_date,scraped_at,title,company,location,country,salary,url,job_id,description_snippet
disnakerja,Latest Update,2026-09-02,2026-09-02T03:32:38.910225,PT Mayora Indah Tbk,PT Mayora Indah Tbk,Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-mayora-group/,lowongan-kerja-mayora-group_PT_Mayora_Indah_Tbk,"PT. Mayora Indah Tbk. (Perseroan) didirikan pada tahun 1977 dengan pabrik pertama berlokasi di Tangerang dengan target market wilayah Jakarta dan sekitarnya. Setelah mampu memenuhi pasar Indonesia, Pe"
disnakerja,Latest Update,2026-09-02,2026-09-02T03:32:35.483867,RECRUITMENT STAFF,Pelita Harapan Group,Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-universitas-pelita-harapan/,lowongan-kerja-universitas-pelita-harapan_RECRUITMENT_STAFF,"Universitas Pelita Harapan adalah sebuah perguruan tinggi swasta yang berlokasi di Tangerang dengan lokasi seperti, Program Sarjana S-1 di Lippo Village, Tangerang, Banten, Program Master Universitas "
disnakerja,Latest Update,2026-09-02,2026-09-02T03:32:32.218541,PT Tirta Fresindo Jaya (Mayora Group),PT Tirta Fresindo Jaya (Mayora Group),Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-pt-tirta-fresindo-jaya-mayora-group-2/,lowongan-kerja-pt-tirta-fresindo-jaya-mayora-group-2_PT_Tirta_Fresindo_Ja,PT Tirta Fresindo Jaya adalah salah satu dari anak perusahaan Mayora Group yang bergerak di bidang produksi dan distribusi produk Air Mineral. Le Minerale merupakan produk unggulan dari PT Tirta Fresi
disnakerja,Latest Update,2026-09-02,2026-09-02T03:32:29.054824,FACILITY ELECTRICAL ENGINEER,PT Indonesia Epson Industry,Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-pt-indonesia-epson-industry-iei/,lowongan-kerja-pt-indonesia-epson-industry-iei_FACILITY_ELECTRICAL,PT Indonesia Epson Industry adalah anak perusahaan dari Seiko Epson Corporation yang bergerak sebagai kantor penjualan dan pemasaran di Indonesia. Perusahaan ini berdiri pada tahun 2000. Produk-produk
disnakerja,Latest Update,2026-09-02,2026-09-02T03:32:29.054820,SOFTWARE ENGINEER,PT Indonesia Epson Industry,Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-pt-indonesia-epson-industry-iei/,lowongan-kerja-pt-indonesia-epson-industry-iei_SOFTWARE_ENGINEER,PT Indonesia Epson Industry adalah anak perusahaan dari Seiko Epson Corporation yang bergerak sebagai kantor penjualan dan pemasaran di Indonesia. Perusahaan ini berdiri pada tahun 2000. Produk-produk
disnakerja,Latest Update,2026-09-02,2026-09-02T03:32:29.054816,PARTS PRODUCTION STAFF,PT Indonesia Epson Industry,Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-pt-indonesia-epson-industry-iei/,lowongan-kerja-pt-indonesia-epson-industry-iei_PARTS_PRODUCTION_STA,PT Indonesia Epson Industry adalah anak perusahaan dari Seiko Epson Corporation yang bergerak sebagai kantor penjualan dan pemasaran di Indonesia. Perusahaan ini berdiri pada tahun 2000. Produk-produk
disnakerja,Latest Update,2026-09-02,2026-09-02T03:32:29.054810,ISO STAFF,PT Indonesia Epson Industry,Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-pt-indonesia-epson-industry-iei/,lowongan-kerja-pt-indonesia-epson-industry-iei_ISO_STAFF,PT Indonesia Epson Industry adalah anak perusahaan dari Seiko Epson Corporation yang bergerak sebagai kantor penjualan dan pemasaran di Indonesia. Perusahaan ini berdiri pada tahun 2000. Produk-produk
disnakerja,Latest Update,2026-09-02,2026-09-02T03:32:29.054805,PARTS PRODUCTION ENGINEERING AND CONTROL STAFF,PT Indonesia Epson Industry,Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-pt-indonesia-epson-industry-iei/,lowongan-kerja-pt-indonesia-epson-industry-iei_PARTS_PRODUCTION_ENG,PT Indonesia Epson Industry adalah anak perusahaan dari Seiko Epson Corporation yang bergerak sebagai kantor penjualan dan pemasaran di Indonesia. Perusahaan ini berdiri pada tahun 2000. Produk-produk
disnakerja,Latest Update,2026-09-02,2026-09-02T03:32:29.054801,MECHANICAL DESIGN STAFF,PT Indonesia Epson Industry,Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-pt-indonesia-epson-industry-iei/,lowongan-kerja-pt-indonesia-epson-industry-iei_MECHANICAL_DESIGN_ST,PT Indonesia Epson Industry adalah anak perusahaan dari Seiko Epson Corporation yang bergerak sebagai kantor penjualan dan pemasaran di Indonesia. Perusahaan ini berdiri pada tahun 2000. Produk-produk
disnakerja,Latest Update,2026-09-02,2026-09-02T03:32:29.054796,SOFTWARE DEVELOPER STAFF,PT Indonesia Epson Industry,Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-pt-indonesia-epson-industry-iei/,lowongan-kerja-pt-indonesia-epson-industry-iei_SOFTWARE_DEVELOPER_S,PT Indonesia Epson Industry adalah anak perusahaan dari Seiko Epson Corporation yang bergerak sebagai kantor penjualan dan pemasaran di Indonesia. Perusahaan ini berdiri pada tahun 2000. Produk-produk
disnakerja,Latest Update,2026-09-02,2026-09-02T03:32:29.054787,TRAFFIC EXPORT STAFF,PT Indonesia Epson Industry,Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-pt-indonesia-epson-industry-iei/,lowongan-kerja-pt-indonesia-epson-industry-iei_TRAFFIC_EXPORT_STAFF,PT Indonesia Epson Industry adalah anak perusahaan dari Seiko Epson Corporation yang bergerak sebagai kantor penjualan dan pemasaran di Indonesia. Perusahaan ini berdiri pada tahun 2000. Produk-produk
disnakerja,Latest Update,2026-09-02,2026-09-02T03:32:29.054783,PURCHASING STAFF,PT Indonesia Epson Industry,Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-pt-indonesia-epson-industry-iei/,lowongan-kerja-pt-indonesia-epson-industry-iei_PURCHASING_STAFF,PT Indonesia Epson Industry adalah anak perusahaan dari Seiko Epson Corporation yang bergerak sebagai kantor penjualan dan pemasaran di Indonesia. Perusahaan ini berdiri pada tahun 2000. Produk-produk
disnakerja,Latest Update,2026-09-02,2026-09-02T03:32:29.054778,ENGINEERING STAFF,PT Indonesia Epson Industry,Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-pt-indonesia-epson-industry-iei/,lowongan-kerja-pt-indonesia-epson-industry-iei_ENGINEERING_STAFF,PT Indonesia Epson Industry adalah anak perusahaan dari Seiko Epson Corporation yang bergerak sebagai kantor penjualan dan pemasaran di Indonesia. Perusahaan ini berdiri pada tahun 2000. Produk-produk
disnakerja,Latest Update,2026-09-02,2026-09-02T03:32:29.054744,EMC TESTING ENGINEER,PT Indonesia Epson Industry,Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-pt-indonesia-epson-industry-iei/,lowongan-kerja-pt-indonesia-epson-industry-iei_EMC_TESTING_ENGINEER,PT Indonesia Epson Industry adalah anak perusahaan dari Seiko Epson Corporation yang bergerak sebagai kantor penjualan dan pemasaran di Indonesia. Perusahaan ini berdiri pada tahun 2000. Produk-produk
disnakerja,Latest Update,2026-09-02,2026-09-02T03:32:25.689164,PT Krakatau Posco,PT Krakatau Posco,Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-pt-krakatau-posco/,lowongan-kerja-pt-krakatau-posco_PT_Krakatau_Posco,"PT KRAKATAU POSCO adalah Perusahaan kerjasama antara PT Krakatau Steel (Persero) Tbk, Indonesia dan POSCO Korea. Konstruksi pembangunan dimulai pada tahun 2011 dan selesai dalam waktu 36 bulan menjadi"
disnakerja,Latest Update,2026-09-01,2026-09-02T03:33:22.464976,PT Pertamina Patra Niaga,PT Pertamina Patra Niaga,Indonesia,Indonesia,,https://www.disnakerja.com/pt-pertamina-patra-niaga-subholding-ct/,pt-pertamina-patra-niaga-subholding-ct_PT_Pertamina_Patra_N,PT Pertamina Patra Niaga adalah anak perusahaan Pertamina yang bergerak di bidang perdagangan olahan minyak bumi. Perusahaan ini memiliki lima kantor regional dan mengelola puluhan depot minyak milik 
disnakerja,Latest Update,2026-09-01,2026-09-02T03:33:19.205994,PT Nutrifood Indonesia,PT Nutrifood Indonesia,Indonesia,Indonesia,,https://www.disnakerja.com/pt-nutrifood-indonesia/,pt-nutrifood-indonesia_PT_Nutrifood_Indones,"PT Nutrifood Indonesia merupakan sebuah perusahaan yang telah berdiri sejak tahun 1979, memiliki visi dan misi untuk menjadi yang terdepan dalam memberikan solusi untuk meraih kehidupan yang kebih seh"
disnakerja,Latest Update,2026-09-01,2026-09-02T03:33:16.059461,Admin Produksi,PT Sansyu Precision Indonesia,Indonesia,Indonesia,,https://www.disnakerja.com/pt-sansyu-precision-indonesia/,pt-sansyu-precision-indonesia_Admin_Produksi,"PT Sansyu Precision Indonesia adalah perusahaan manufaktur penanaman modal asing asal Jepang yang berlokasi di Cikarang Selatan, Bekasi. Perusahaan ini mengkhususkan diri dalam pengolahan biji plastik"
disnakerja,Latest Update,2026-09-01,2026-09-02T03:33:13.048806,Officer Support Services,Husky-CNOOC Madura Limited,Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-husky-cnooc-madura-limited/,lowongan-kerja-husky-cnooc-madura-limited_Officer_Support_Serv,Husky-CNOOC Madura Limited merupakan salah satu Production Sharing Contract (PSC) Badan Pelaksana Kegiatan Usaha Hulu Minyak dan Gas Bumi (BPMIGAS) yang kemudian diubah menjadi Satuan Kerja Khusus Pel
disnakerja,Latest Update,2026-09-01,2026-09-02T03:33:10.163516,ADMIN PRODUCTION DATA ANALYST,PT JAPFA Food Indonesia,Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-pt-japfa-comfeed-indonesia-tbk/,lowongan-kerja-pt-japfa-comfeed-indonesia-tbk_ADMIN_PRODUCTION_DAT,"Japfa Food memiliki divisi dengan berbagai kategori protein, yaitu Santosa Agrindo, So Good Food, Cahaya Gunung Foods, Intan Kenkomayo, Ciomas Adisatwa dan Japfa Prime Seafood. Japfa Food bertindak se"
disnakerja,Latest Update,2026-09-01,2026-09-02T03:33:07.194742,Engineering Crew,Pakuwon Mall Jogja,Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-pakuwon-mall-jogja/,lowongan-kerja-pakuwon-mall-jogja_Engineering_Crew,Pakuwon Mall Jogja adalah pusat perbelanjaan terbesar dan terluas di Daerah Istimewa Yogyakarta serta Jawa Tengah. Mal yang berlokasi di Kabupaten Sleman ini memiliki 6 lantai dengan ratusan merek tok
disnakerja,Latest Update,2026-09-01,2026-09-02T03:33:07.194736,Cleaning Service Supervisor,Pakuwon Mall Jogja,Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-pakuwon-mall-jogja/,lowongan-kerja-pakuwon-mall-jogja_Cleaning_Service_Sup,Pakuwon Mall Jogja adalah pusat perbelanjaan terbesar dan terluas di Daerah Istimewa Yogyakarta serta Jawa Tengah. Mal yang berlokasi di Kabupaten Sleman ini memiliki 6 lantai dengan ratusan merek tok
disnakerja,Latest Update,2026-09-01,2026-09-02T03:33:07.194692,Admin Engineering,Pakuwon Mall Jogja,Indonesia,Indonesia,,https://www.disnakerja.com/lowongan-kerja-pakuwon-mall-jogja/,lowongan-kerja-pakuwon-mall-jogja_Admin_Engineering,Pakuwon Mall Jogja adalah pusat perbelanjaan terbesar dan terluas di Daerah Istimewa Yogyakarta serta Jawa Tengah. Mal yang berlokasi di Kabupaten Sleman ini memiliki 6 lantai dengan ratusan merek tok
disnakerja,Latest Update,2026-09-01,2026-09-02T03:33:00.347166,PT Adhimix Precast Indonesia,PT Adhimix Precast Indonesia,Indonesia,Indonesia,,https://www.disnakerja.com/pt-adhimix-precast-indonesia/,pt-adhimix-precast-indonesia_PT_Adhimix_Precast_I,PT. Adhimix Precast Indonesia telah berkembang menjadi sumber terpercaya untuk readymix dan beton pracetak kelas nasional di Indonesia. Sebagai salah satu pemasok utama beton readymix tanpa berafilias
disnakerja,Latest Update,2026-09-01,2026-09-02T03:32:57.490713,STAF ADMINISTRASI,Rekrutmen Kedutaan Besar Republik Indonesia (KBRI) di Singapura,Indonesia,Indonesia,,https://www.disnakerja.com/kedutaan-besar-republik-indonesia-kbri-di-singapura/,kedutaan-besar-republik-indonesia-kbri-di-singapura_STAF_ADMINISTRASI,"Kedutaan Besar Republik Indonesia (KBRI) di Singapura adalah perwakilan diplomatik Indonesia untuk Republik Singapura, yang bertugas membina hubungan dan melindungi kepentingan Indonesia di negara ter"
disnakerja,Latest Update,2026-09-01,2026-09-02T03:32:54.371392,Manufacture Engineer Staff,Nano Center Indonesia,Indonesia,Indonesia,,https://www.disnakerja.com/pt-graha-nanotech-indonesia-nanoland/,pt-graha-nanotech-indonesia-nanoland_Manufacture_Engineer,"Nano Center Indonesia (NCI) adalah lembaga penelitian dan pengembangan nanoteknologi swasta di Indonesia yang didirikan pada tahun 2012 dan berlokasi di Tangerang Selatan, Banten."
disnakerja,Latest Update,2026-09-01,2026-09-02T03:32:51.429650,Global Traineeship Program – Engineering & Technology,PT Frisian Flag Indonesia,Indonesia,Indonesia,,https://www.disnakerja.com/pt-frisian-flag-indonesia/,pt-frisian-flag-indonesia_Global_Traineeship_P,"PT Frisian Flag Indonesia (FFI) adalah produsen produk-produk nutrisi berbasis susu untuk anak-anak di Indonesia dengan merek Frisian Flag, yang juga dikenal sebagai Susu Bendera. Frisian Flag telah m"
