source,keyword,posted_date,scraped_at,title,company,location,country,salary,url,job_id,description_snippet
jobstreet,Singapore-AI,2026-09-07,2026-09-07T06:02:41.278522,AI Software Engineer (Python/LLM) - Financial Services,,"Central Region, SG",Singapore,,https://id.jobstreet.com/id/job/94358177?type=standard&ref=search-standalone&origin=cardTitle,94358177,
jobstreet,Singapore-AI,2026-09-07,2026-09-07T06:02:41.235516,AI Research Engineer — Computer Vision & Physical Intelligence,,"Central Region, SG",Singapore,,https://id.jobstreet.com/id/job/94340237?type=standard&ref=search-standalone&origin=cardTitle,94340237,
jobstreet,Singapore-AI,2026-09-07,2026-09-07T06:02:41.195517,AI Applications Engineer,,"Bukit Merah, Central Region, SG",Singapore,,https://id.jobstreet.com/id/job/94326357?type=standard&ref=search-standalone&origin=cardTitle,94326357,
jobstreet,Singapore-AI,2026-09-07,2026-09-07T06:02:41.159524,Full stack developer with Gen AI Engineer,,"Central Region, SG",Singapore,,https://id.jobstreet.com/id/job/93898165?type=standard&ref=search-standalone&origin=cardTitle,93898165,
jobstreet,Singapore-AI,2026-09-07,2026-09-07T06:02:41.120520,AI Engineer (AMK),,"Ang Mo Kio, North-East Region, SG",Singapore,,https://id.jobstreet.com/id/job/94347297?type=standard&ref=search-standalone&origin=cardTitle,94347297,
jobstreet,Singapore-AI,2026-09-07,2026-09-07T06:02:41.076518,Ai Applications Engineer,,"Central Region, SG",Singapore,,https://id.jobstreet.com/id/job/94197982?type=standard&ref=search-standalone&origin=cardTitle,94197982,
jobstreet,Singapore-AI,2026-09-07,2026-09-07T06:02:41.022520,Generative AI Engineer (LLM | RAG | AWS),,"Central Region, SG",Singapore,,https://id.jobstreet.com/id/job/94230026?type=standard&ref=search-standalone&origin=cardTitle,94230026,
jobstreet,Singapore-AI,2026-09-07,2026-09-07T06:02:40.965516,AI Engineer with Python,,"West Region, SG",Singapore,,https://id.jobstreet.com/id/job/94362323?type=standard&ref=search-standalone&origin=cardTitle,94362323,
jobstreet,Singapore-AI,2026-09-07,2026-09-07T06:02:40.913541,AI Engineer - TEKsystems (Allegis Group Singapore Pte Ltd),,Singapura,Singapore,,https://id.jobstreet.com/id/job/94440046?type=standard&ref=search-standalone&origin=cardTitle,94440046,
jobstreet,Singapore-AI,2026-09-07,2026-09-07T06:02:40.848522,Lead Software Engineer - AI,,"Central Region, SG",Singapore,,https://id.jobstreet.com/id/job/94442220?type=standard&ref=search-standalone&origin=cardTitle,94442220,
jobstreet,Singapore-AI,2026-09-07,2026-09-07T06:02:40.739100,AI Engineer,,"Singapore River, Central Region, SG",Singapore,,https://id.jobstreet.com/id/job/94325481?type=standard&ref=search-standalone&origin=cardTitle,94325481,
jobstreet,Singapore-AI,2026-09-07,2026-09-07T06:02:40.694116,"Engineer, AI",,"Boon Lay, West Region, SG",Singapore,,https://id.jobstreet.com/id/job/93920751?type=standard&ref=search-standalone&origin=cardTitle,93920751,
jobstreet,Singapore-AI,2026-09-07,2026-09-07T06:02:40.640365,AI Application Engineer,,"Kampong Ubi, Central Region, SG",Singapore,,https://id.jobstreet.com/id/job/94287239?type=standard&ref=search-standalone&origin=cardTitle,94287239,
