source,keyword,posted_date,scraped_at,title,company,location,country,salary,url,job_id,description_snippet
glints,AI Engineer,2026-09-01,2026-09-01T21:31:14.657832,SALES GENERALIS BANK MANDIRI PENEMPATAN KARAWANG,,Indonesia,Indonesia,,https://glints.com/id/opportunities/jobs/sales-generalis-bank-mandiri-penempatan-karawang/68241683-eac4-4fef-bc83-e3f49f709456?utm_referrer=explore&traceInfo=cf480e67-02bd-4460-bd31-7009d5888444,68241683-eac4-4fef-bc83-e3f49f709456,
glints,AI Engineer,2026-09-01,2026-09-01T21:31:14.634828,FIELD COLLECTION (PENEMPATAN KARAWANG),,Indonesia,Indonesia,,https://glints.com/id/opportunities/jobs/field-collection-penempatan-karawang/d07170e9-32f3-4e31-9642-7636fceac10d?utm_referrer=explore&traceInfo=cf480e67-02bd-4460-bd31-7009d5888444,d07170e9-32f3-4e31-9642-7636fceac10d,
glints,AI Engineer,2026-09-01,2026-09-01T21:31:14.615955,"Head of Quality, Digital Transformation & Governance",,Indonesia,Indonesia,,https://glints.com/id/opportunities/jobs/head-of-quality-digital-transformation-and-governance/a0b399d7-0a02-4a21-8480-0547ef6e5b9a?utm_referrer=explore&traceInfo=cf480e67-02bd-4460-bd31-7009d5888444,a0b399d7-0a02-4a21-8480-0547ef6e5b9a,
glints,AI Engineer,2026-09-01,2026-09-01T21:31:14.595950,SALES GENERALIS BANK MANDIRI DURI,,Indonesia,Indonesia,,https://glints.com/id/opportunities/jobs/sales-generalis-bank-mandiri-duri/9c29c31b-9c43-47f9-bf57-d67d0996cbb2?utm_referrer=explore&traceInfo=cf480e67-02bd-4460-bd31-7009d5888444,9c29c31b-9c43-47f9-bf57-d67d0996cbb2,
glints,AI Engineer,2026-09-01,2026-09-01T21:31:14.573960,SALES GENERALIS BANK MANDIRI ( JAKARTA PUSAT DAN JAKARTA TIMUR),,Indonesia,Indonesia,,https://glints.com/id/opportunities/jobs/sales-generalis-bank-mandiri-jakarta-pusat-dan-jakarta-timur/32227a02-d3d6-43b9-a40e-7445959028f0?utm_referrer=explore&traceInfo=cf480e67-02bd-4460-bd31-7009d5888444,32227a02-d3d6-43b9-a40e-7445959028f0,
glints,AI Engineer,2026-09-01,2026-09-01T21:31:14.548950,SALES GENERALIS BANK MANDIRI PENEMPATAN BEKASI DAN JATIWARINGIN,,Indonesia,Indonesia,,https://glints.com/id/opportunities/jobs/sales-generalis-bank-mandiri-penempatan-bekasi-dan-jatiwaringin/213ff663-516a-41bd-bf32-49fb50eb86bf?utm_referrer=explore&traceInfo=cf480e67-02bd-4460-bd31-7009d5888444,213ff663-516a-41bd-bf32-49fb50eb86bf,
glints,AI Engineer,2026-09-01,2026-09-01T21:31:14.527955,DRIVER DOMISILI CAKUNG DAN PONDOK BAMBU (JAKARTA TIMUR),,Indonesia,Indonesia,,https://glints.com/id/opportunities/jobs/driver-domisili-cakung-dan-pondok-bambu-jakarta-timur/126b7b6b-fcc9-4770-9354-538db7b63d7e?utm_referrer=explore&traceInfo=cf480e67-02bd-4460-bd31-7009d5888444,126b7b6b-fcc9-4770-9354-538db7b63d7e,
glints,AI Engineer,2026-09-01,2026-09-01T21:31:14.502825,SALES GENERALIS BANK MANDIRI PENEMPATAN SUKABUMI,,Indonesia,Indonesia,,https://glints.com/id/opportunities/jobs/sales-generalis-bank-mandiri-penempatan-sukabumi/2323df28-6efd-470c-b5ec-b1427eecaff7?utm_referrer=explore&traceInfo=cf480e67-02bd-4460-bd31-7009d5888444,2323df28-6efd-470c-b5ec-b1427eecaff7,
glints,AI Engineer,2026-09-01,2026-09-01T21:31:14.482824,SALES GENERALIS BANK MANDIRI PENEMPATAN BANDUNG,,Indonesia,Indonesia,,https://glints.com/id/opportunities/jobs/sales-generalis-bank-mandiri-penempatan-bandung/9cc343d5-4fad-4915-a64c-78e1fdd68b83?utm_referrer=explore&traceInfo=cf480e67-02bd-4460-bd31-7009d5888444,9cc343d5-4fad-4915-a64c-78e1fdd68b83,
glints,AI Engineer,2026-09-01,2026-09-01T21:31:14.462824,"SALES GENERALIS (PENEMPATAN TASIKMALAYA, CIAMIS, DAN GARUT)",,Indonesia,Indonesia,,https://glints.com/id/opportunities/jobs/sales-generalis-penempatan-tasikmalaya-ciamis-dan-garut/5cd77fa5-acf1-4b20-bbb5-6e4b1c5738bf?utm_referrer=explore&traceInfo=cf480e67-02bd-4460-bd31-7009d5888444,5cd77fa5-acf1-4b20-bbb5-6e4b1c5738bf,
