source,keyword,posted_date,scraped_at,title,company,location,country,salary,url,job_id,description_snippet
jobstreet,Malaysia-AI,2026-09-01,2026-09-01T21:35:14.150532,AI Application Development Engineer (Mandarin Speaker),,"Bangsar South, Kuala Lumpur",Malaysia,,https://www.jobstreet.com.my/job/94049785?type=standard&ref=search-standalone&origin=cardTitle#sol=8c62c27ad400a1940234a335120d6f314387ff5a,94049785,
jobstreet,Malaysia-AI,2026-09-01,2026-09-01T21:35:14.056558,AI Solution Engineer,,"Taman Desa Cemerlang, Johor",Malaysia,,https://www.jobstreet.com.my/job/93927038?type=standard&ref=search-standalone&origin=cardTitle#sol=d0934839aa11b84251fada9aeb608f46dcfac8eb,93927038,
jobstreet,Malaysia-AI,2026-09-01,2026-09-01T21:35:13.971034,AI Engineer (Full Stack Engineering),,Kuala Lumpur,Malaysia,,https://www.jobstreet.com.my/job/94010758?type=standard&ref=search-standalone&origin=cardTitle#sol=891548537413d38ebbd1b276893b3aa0cd93b1f1,94010758,
jobstreet,Malaysia-AI,2026-09-01,2026-09-01T21:35:13.890795,AI Engineer,,Kuala Lumpur,Malaysia,,https://www.jobstreet.com.my/job/93834163?type=standard&ref=search-standalone&origin=cardTitle#sol=33fccd860d0f11c2b96fdeb29fbd4974f928cd77,93834163,
jobstreet,Malaysia-AI,2026-09-01,2026-09-01T21:35:13.191794,AI & Software Engineer,,"Petaling Jaya, Selangor",Malaysia,,https://www.jobstreet.com.my/job/94271304?type=standard&ref=search-standalone&origin=cardTitle#sol=f3408aa57bc266dc039b3ff281a9880a8e5bc20a,94271304,
jobstreet,Malaysia-AI,2026-09-01,2026-09-01T21:35:13.107148,AI SOFTWARE ENGINEER,,"Bandar Puteri Puchong, Selangor",Malaysia,,https://www.jobstreet.com.my/job/94211372?type=standard&ref=search-standalone&origin=cardTitle#sol=f3f4d21fe15d518fbdd609f0000d9377346d22bd,94211372,
jobstreet,Malaysia-AI,2026-09-01,2026-09-01T21:35:12.973804,AI Engineer (Full Stack Engineering Lead),,"Kuala Lumpur City Centre, Kuala Lumpur",Malaysia,,https://www.jobstreet.com.my/job/94243296?type=standard&ref=search-standalone&origin=cardTitle#sol=7f0b8df2fec92f70b43ad12dbc7e2092f3004696,94243296,
jobstreet,Malaysia-AI,2026-09-01,2026-09-01T21:35:12.886030,Conversational AI Engineer (RAG & Mobile Integration),,"Kuala Lumpur City Centre, Kuala Lumpur",Malaysia,,https://www.jobstreet.com.my/job/94289578?type=standard&ref=search-standalone&origin=cardTitle#sol=4834b3273bb0d7cc036ae45fc05cbcadd0630f4d,94289578,
jobstreet,Malaysia-AI,2026-09-01,2026-09-01T21:35:12.505330,"Data Engineer, AI-Enabled",,Kuala Lumpur,Malaysia,,https://www.jobstreet.com.my/job/94323976?type=standard&ref=search-standalone&origin=cardTitle#sol=c0f21ebf794c94e0afb482e872736b89aebd45c6,94323976,
jobstreet,Malaysia,2026-09-01,2026-09-01T21:34:56.578981,AI Engineer,,"Bangsar South, Kuala Lumpur",Malaysia,,https://www.jobstreet.com.my/job/94093278?type=standard&ref=search-standalone&origin=cardTitle#sol=0eeaac12adb8c4a7bd0f310f710de0d4cd59ed5f,94093278,
jobstreet,Malaysia,2026-09-01,2026-09-01T21:34:56.503100,Machine Learning Engineer (AI Platform & Services),,"Petaling, Selangor",Malaysia,,https://www.jobstreet.com.my/job/93207535?type=standard&ref=search-standalone&origin=cardTitle#sol=9b292a3aa0162b423b189bdb22724966391e06e4,93207535,
jobstreet,Malaysia,2026-09-01,2026-09-01T21:34:56.429684,AI/Machine Learning Engineer (12 months contract),,"Petaling Jaya, Selangor",Malaysia,,https://www.jobstreet.com.my/job/93875556?type=standard&ref=search-standalone&origin=cardTitle#sol=256deeab7cfbe0fdf4d6ed344ad9f04c33754b52,93875556,
jobstreet,Malaysia,2026-09-01,2026-09-01T21:34:56.358478,Machine Learning Engineer,,"Kuala Lumpur City Centre, Kuala Lumpur",Malaysia,,https://www.jobstreet.com.my/job/93963940?type=standard&ref=search-standalone&origin=cardTitle#sol=8e4107ed62f6dfed159fd9789f4e174bba75f5e5,93963940,
jobstreet,Malaysia,2026-09-01,2026-09-01T21:34:56.111110,AI (Artificial Intelligence) Developer,,"Petaling Jaya, Selangor",Malaysia,,https://www.jobstreet.com.my/job/93722469?type=standard&ref=search-standalone&origin=cardTitle#sol=45a6f38dc9e6a0aa7cd8f31fe5e0271d42d12bea,93722469,
jobstreet,Malaysia,2026-09-01,2026-09-01T21:34:56.041599,Machine Learning Engineer (4023),,"Kuala Lumpur City Centre, Kuala Lumpur",Malaysia,,https://www.jobstreet.com.my/job/92812414?type=standard&ref=search-standalone&origin=cardTitle#sol=b1e55eab4a4be4648446c414d7641b0370cc7fae,92812414,
jobstreet,Malaysia,2026-09-01,2026-09-01T21:34:55.621609,"Engineer, Software // Artificial Intelligence (AI)",,"Meru, Selangor",Malaysia,,https://www.jobstreet.com.my/job/94054724?type=standard&ref=search-standalone&origin=cardTitle#sol=77869ed5b275136364820c70983fa0e1522e87dd,94054724,
jobstreet,Malaysia,2026-09-01,2026-09-01T21:34:55.516367,Graduate AI Engineer,,Kuala Lumpur,Malaysia,,https://www.jobstreet.com.my/job/93911284?type=standard&ref=search-standalone&origin=cardTitle#sol=124dbd81393c7edd37150e869dc73344ba23f6e9,93911284,
jobstreet,Malaysia,2026-09-01,2026-09-01T21:34:55.458646,AI Engineer,,"Petaling Jaya, Selangor",Malaysia,,https://www.jobstreet.com.my/job/94264326?type=standard&ref=search-standalone&origin=cardTitle#sol=9d17ab330642f3f0c6a2d17241eb5aec28634ea6,94264326,
jobstreet,Malaysia,2026-09-01,2026-09-01T21:34:55.397657,Artificial Intelligence & Machine Learning Engineer,,"Batu Kawan, Penang",Malaysia,,https://www.jobstreet.com.my/job/94276764?type=standard&ref=search-standalone&origin=cardTitle#sol=824922a5941191e05708bd4c0a3c8ce0d636ca64,94276764,
jobstreet,Malaysia,2026-09-01,2026-09-01T21:34:55.336350,Machine Learning Engineer,,"Bangsar South, Kuala Lumpur",Malaysia,,https://www.jobstreet.com.my/job/93772447?type=standard&ref=search-standalone&origin=cardTitle#sol=c42e20cf1f8565e2eafdbd894677c3f8785d2c04,93772447,
jobstreet,Malaysia,2026-09-01,2026-09-01T21:34:54.969154,Machine Learning Platform Engineer (Remote),,Kuala Lumpur,Malaysia,,https://www.jobstreet.com.my/job/94121174?type=standard&ref=search-standalone&origin=cardTitle#sol=2b9f3b0d5dcddc6065c1d8b979f581659a144a43,94121174,
jobstreet,Malaysia,2026-09-01,2026-09-01T21:34:54.881191,Algorithm / Machine Learning Engineer (Junior to Senior),,"Bandar Malaysia, Kuala Lumpur",Malaysia,,https://www.jobstreet.com.my/job/94051238?type=standard&ref=search-standalone&origin=cardTitle#sol=c5a4ccc79fa13caca5d239fe4d36fa5524a439b2,94051238,
jobstreet,Malaysia,2026-09-01,2026-09-01T21:34:54.787966,Machine Learning Engineer,,"Bangsar South, Kuala Lumpur",Malaysia,,https://www.jobstreet.com.my/job/93780685?type=standard&ref=search-standalone&origin=cardTitle#sol=5b013ce54040235c942dc84c4bd7a20013652271,93780685,
jobstreet,Singapore-AI,2026-09-01,2026-09-01T21:34:39.493762,AI Application Engineer,,"Kampong Ubi, Central Region",Singapore,,https://www.jobstreet.com.sg/job/94287239?type=standard&ref=search-standalone&origin=cardTitle#sol=79e136590d6156bf9f41413fce103bc2534e73ce,94287239,
